SignalID,ToolIndex,ADOC [mm],RDOC [mm],HardnessMean [HRC],CycleToFailureNormalized,ToolHolderLength [mm],ToolRotation [rpm],FeedRate [mm/min],ToolDiameter [mm]
0,2,5,8.0,36.67,1.0,80,3200,640,10
1,2,5,8.0,36.67,0.979591836734694,80,3200,640,10
2,2,5,8.0,36.67,0.9591836734693876,80,3200,640,10
3,2,5,8.0,36.67,0.9387755102040816,80,3200,640,10
4,2,5,8.0,36.67,0.9183673469387756,80,3200,640,10
5,2,5,8.0,36.67,0.8979591836734694,80,3200,640,10
6,2,5,8.0,36.67,0.8775510204081632,80,3200,640,10
7,2,5,8.0,36.67,0.8571428571428571,80,3200,640,10
8,2,5,8.0,36.67,0.8367346938775511,80,3200,640,10
9,2,5,8.0,36.67,0.8163265306122449,80,3200,640,10
10,2,5,8.0,36.67,0.7959183673469388,80,3200,640,10
11,2,5,8.0,36.67,0.7755102040816326,80,3200,640,10
12,2,5,8.0,36.67,0.7551020408163265,80,3200,640,10
13,2,5,8.0,36.67,0.7346938775510204,80,3200,640,10
14,2,5,8.0,36.67,0.7142857142857143,80,3200,640,10
15,2,5,8.0,36.67,0.6938775510204082,80,3200,640,10
16,2,5,8.0,36.67,0.673469387755102,80,3200,640,10
17,2,5,8.0,36.67,0.6530612244897959,80,3200,640,10
18,2,5,8.0,36.67,0.6326530612244898,80,3200,640,10
19,2,5,8.0,36.67,0.5918367346938775,80,3200,640,10
20,2,5,8.0,36.67,0.5714285714285714,80,3200,640,10
21,2,5,8.0,36.67,0.5510204081632653,80,3200,640,10
22,2,5,8.0,36.67,0.5306122448979592,80,3200,640,10
23,2,5,8.0,36.67,0.5102040816326531,80,3200,640,10
24,2,5,8.0,36.67,0.4897959183673469,80,3200,640,10
25,2,5,8.0,36.67,0.4693877551020408,80,3200,640,10
26,2,5,8.0,36.67,0.4489795918367347,80,3200,640,10
27,2,5,8.0,36.67,0.4285714285714285,80,3200,640,10
28,2,5,8.0,36.67,0.4081632653061224,80,3200,640,10
29,2,5,8.0,36.67,0.3877551020408163,80,3200,640,10
30,2,5,8.0,36.67,0.3265306122448979,80,3200,640,10
31,2,5,8.0,36.67,0.3265306122448979,80,3200,640,10
32,2,5,8.0,36.67,0.3061224489795918,80,3200,640,10
33,2,5,8.0,36.67,0.2857142857142857,80,3200,640,10
34,2,5,8.0,36.67,0.2653061224489796,80,3200,640,10
35,2,5,8.0,36.67,0.2448979591836734,80,3200,640,10
36,2,5,8.0,36.67,0.2244897959183673,80,3200,640,10
37,2,5,8.0,36.67,0.2040816326530612,80,3200,640,10
38,2,5,8.0,36.67,0.1836734693877551,80,3200,640,10
39,2,5,8.0,36.67,0.1632653061224489,80,3200,640,10
